,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
511,,رحلة الى عالم الخضراوات,تأليف عماد الدين حسين (تأليف),"المؤلفون
1", ,زراعة وحيوان علم النبات,,مراجعات,اقتباسات,القرّاء,مكتبة ابن سينا - القاهرة,"طبعات
1",نشر سنة 1905,,https://www.abjjad.com/book/2208432554/%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D9%89-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1%D8%A7%D9%88%D8%A7%D8%AA/2208661930/reviews,https://www.abjjad.com/images/ubook.jpg
512,,الثورة الخضراء لزيادة الرقعه الزراعيه فى مصر,تأليف فاروق الباز (تأليف),"المؤلفون
1", ,زراعة وحيوان تنمية زراعية,,مراجعات,اقتباسات,القرّاء,الهيئة المصرية العامة للكتاب - مكتبة الأسرة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2208563229/%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1%D8%A7%D8%A1-%D9%84%D8%B2%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%B1%D9%82%D8%B9%D9%87-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D9%87-%D9%81%D9%89-%D9%85%D8%B5%D8%B1/2208792605/reviews,https://www.abjjad.com/images/ubook.jpg
513,,تعيين الكروم وتحديد حالات أكسدته في التربة بمنطقة الساحل الشرقي ومنطقة عجمان الصناعية,تأليف أيمن حسن اليازوري (تأليف),"المؤلفون
1", ,زراعة وحيوان عام,,مراجعات,اقتباسات,القرّاء,ندوة الثقافة والعلوم - دبي,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2208694466/%D8%AA%D8%B9%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%88%D9%85-%D9%88%D8%AA%D8%AD%D8%AF%D9%8A%D8%AF-%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%83%D8%B3%D8%AF%D8%AA%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9-%D8%A8%D9%85/2208923843/reviews,https://abjjadst.blob.core.windows.net/pub/db6d37a9-5cdb-4019-843b-6a497a8a229c-192X290.png
514,,المعالجة النباتية للفلزات الثقيلة من التربة باستخدام بعض النباتات المحلية في الإمارات العربية المتحدة,تأليف أيمن حسن اليازوري (تأليف),"المؤلفون
1", ,زراعة وحيوان إنتاج وحماية المحاصيل,,مراجعات,اقتباسات,القرّاء,ندوة الثقافة والعلوم - دبي,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2208727229/%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D9%84%D8%AC%D8%A9-%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA%D9%8A%D8%A9-%D9%84%D9%84%D9%81%D9%84%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%AB%D9%82%D9%8A%D9%84%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9-%D8%A8/2208956607/reviews,https://abjjadst.blob.core.windows.net/pub/686025ef-c088-42e7-aff7-07aea13feaea-192X290.png
515,دار الكتب العلمية للنشر والتوزيع,الحمى القلاعية وانفلونزا الطيور,تأليف صبحى سليمان (تأليف),"المؤلفون
1", ,صحة وطب الصحة والسلامة العامة زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,القرّاء,95 صفحة,"طبعات
1",نشر سنة 2007,,https://www.abjjad.com/book/2208858642/%D8%A7%D9%84%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%82%D9%84%D8%A7%D8%B9%D9%8A%D8%A9-%D9%88%D8%A7%D9%86%D9%81%D9%84%D9%88%D9%86%D8%B2%D8%A7-%D8%A7%D9%84%D8%B7%D9%8A%D9%88%D8%B1/2209088018/reviews,https://abjjadst.blob.core.windows.net/pub/72c3086d-865c-4871-908e-0d66d7c58f41-192X290.png
516,الدار العربية للنشر والتوزيع,إنتاج اللبن واللحم من المراعي,تأليف ج.م.ويلكنسون (تأليف) إيهاب علي هلالي (مراجعة) مجموعة مترجمين (ترجمة),"المؤلفون
3",يتناول هذا الكتاب تحويل المراعي وهى أحد أهم المحاصيل الزراعية إلى منتجات لبنية ولحمية للإستهلاك الآدمي وهو يركز على ما يمكن تحقيقه في المزارع التجارية إلى جانب تركيزه على المعلومات الحديثة المستفادة من أبحاث أراضي المراعي والتقدم الحادث في هذا المجال.ويعني الربح من الإنتاج الحيواني تقليل الفاقد عن طريق مواءمة نوعية نباتات المراعي ومدى توافرها مع إحتياجات الحيوان في جميع الأوقات كما أنه أيضا مراعاة تقليل الفاقد خلال عمليات حفظ محاصيل المراعي على هيئة سيلاج أو دريس كما يتعرض الكتاب إلى الأساليب المختلفة لتحسين نوعية وخواص محاصيل المراعي منخفضة الجودة خلال عمليات الحفظ.ويركز هذا الكتاب أساسا على الرعاية المثلى لمحاصيل المراعي خاصة إذا ما كانت ترعى وتحفظ للإستخدام خلال فترة الشتاء كما يعتني الكتاب أيضا بموضوع تكامل البقوليات مع محاصيل المراعي الأخرى في أراضي المراعي خاصة عند إنتاج الحملان حيث ثبت أن أعلى الهوامش الربحية يمكن تحقيقها بإستخدام كفاءة حيوانية مرتفعة مع إستخدام إستثمارات منخفضة نسبيا.,زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,القرّاء,176 صفحة,"طبعات
1",نشر سنة 1996,,https://www.abjjad.com/book/2213511252/%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D9%84%D8%A8%D9%86-%D9%88%D8%A7%D9%84%D9%84%D8%AD%D9%85-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%B9%D9%8A/2213740628/reviews,https://abjjadst.blob.core.windows.net/pub/fbe563b4-ded4-4da5-bb45-c7bc220def7a-192X290.png
517,ISBN 9772581485,موسوعة بيئة الوطن العربي (أغرب المجتمعات),تأليف أحمد عبد الوهاب عبد الجواد (تأليف),"المؤلفون
1","ترددت كثيراً وأنا أضع عنواناً لهذا الكتاب، والله يعلم انه كان تحت عنوان ""نشأة الحشرات"" ثم اصبح عنوانه ""المجتمع الحشري"" وحاولت أن اسميه ""جغرافيا الحشرات"" وفضلت ان اسميه ""مقارنة بين المجتمع الحشري والمجتمع الإنساني"" وتجنباً لكثير من النقد، اخترت له اسمه الحالي ""اغرب المجتمعات"" لوجود تشابه كبير بين المجتمع الحشري والمجتمع الإنساني، وسنحاول في هذا الكتاب أن ننظر إلى المجتمع الحشري من منظور الإنسان. ذلك المجتمع الذي يعتبر أول من عرف الزراعة في العالم، وأول من استخدم وسائل الحرب الكيماوية، وأول من استخدم وسائل الإستشعار عن البعد في العالم، وكانت أول مرضعة في العالم من الحشرات، هذا المجتمع الغريب كان السبب الرئيسي في تنظيم نسل الإنسان بطريق مباشر أو غير مباشر عبر آلاف السنين، وفي هذا المجتمع يوجد سكان القبور وسكان الغرفة الواحدة وسكان الأبنية المكيفة وسكان المناطق العشوائية والسكان بلا مآوى، مجتمع يحتوي على اللصوص والغجر والقراصنة والعبيد والسادة، دعونا نتأمل كيف أن الحشرات استطاعت أن تعيش 300 مليون سنة وكيف أن هذا الإنسان العاقل الذي ارتاد الكواكب وعبر القارات واخترع القنابل النووية وعمل هذه الثورة التكنولوجية مهددة بالفناء.",زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,القرّاء,380 صفحة,"طبعات
1",نشر سنة 2001,,https://www.abjjad.com/book/2214069028/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A8%D9%8A%D8%A6%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D8%A7%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AC%D8%AA%D9%85%D8%B9%D8%A7%D8%AA/2214298408/reviews,https://abjjadst.blob.core.windows.net/pub/c564c653-6066-4f2c-8178-b30bbaec43e9-192X290.jpg
518,,سلسلة المعرفة للجميع: عسل النحل أسرار وفوائد,تأليف ياسر جعفر شلبي (تأليف),"المؤلفون
1", ,زراعة وحيوان تغذية,,مراجعات,اقتباسات,القرّاء,167 صفحة,"طبعات
1",نشر سنة 2008,,https://www.abjjad.com/book/2214986189/%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%84%D9%84%D8%AC%D9%85%D9%8A%D8%B9-%D8%B9%D8%B3%D9%84-%D8%A7%D9%84%D9%86%D8%AD%D9%84-%D8%A7%D8%B3%D8%B1%D8%A7%D8%B1-%D9%88%D9%81%D9%88%D8%A7%D8%A6%D8%AF/2215215568/reviews,https://abjjadst.blob.core.windows.net/pub/a48332b5-ed92-4aed-92e1-97d2b7eaf2a5-192X290.png
519,,سلسلة المعرفة للجميع: الرشاقة والجمال فى الأعشاب والنباتات,تأليف ياسر جعفر شلبي (تأليف),"المؤلفون
1", ,زراعة وحيوان علم النبات,,مراجعات,اقتباسات,القرّاء,160 صفحة,"طبعات
1",نشر سنة 2008,,https://www.abjjad.com/book/2215018754/%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%84%D9%84%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%B1%D8%B4%D8%A7%D9%82%D8%A9-%D9%88%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D9%84-%D9%81%D9%89-%D8%A7%D9%84%D8%A7%D8%B9%D8%B4/2215248133/reviews,https://abjjadst.blob.core.windows.net/pub/a89b064a-96f0-4bf2-9fc1-04e2007d42ee-192X290.png
520,دار التضامن للطباعة والنشر,الدليل العملي لصحة اللحوم,تأليف إلياس شحادة ضومط (تأليف),"المؤلفون
1",كل منا يدرك أهمية اللحوم بمصادرها المختلفة في الحياة الغذائية للبشرية حيث أنها تشكل المصدر الأول لمادة البروتين والدهون إضافة إلى ما تحتويه من معادن وأملاح وفيتامينات التي يتطلبها بالضرورة جسم الإنسان. وكما أن اللحوم مصدراً غذائياً فإنها يمكن أن تكون مصدراً خطراً على صحة الإنسان إن لم تكن استهلاكها لحوماً خالية من الأمراض والمسببات المرضية إضافة إلى ذلك يجب أن تكون ذات مواصفات غذائية كاملة.من هنا كانت أهمية الموضوعات التي يعالجها كتابنا هذا الذي جهد المؤلف في تناولها بهذا الشكل العلمي والعملي والمبسط قدر الإمكان لكي يتمكن القارئ المتخصص والعادي من استيعاب المحتوى بشكل يحصل معه على القدرة في تمييز اللحوم الصالحة واللحوم الغير صالحة، كما أنه يوضح أسماء أقسام الذبائح المختلفة ويظهر بالألوان الطبيعية قطع اللحوم وأسمائها. والأمراض التي يمكن أن تصيبها ونتائجها على جسم الإنسان والهدف من هذا الكتاب هو نشر الوعي الصحي في حياة الناس التي باتت تتعرض لكثير من الأمراض والتلوث في زمن عنوانه الرئيسي الربح.,زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,القرّاء,122 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2215019214/%D8%A7%D9%84%D8%AF%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A-%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D9%84%D8%AD%D9%88%D9%85/2215248593/reviews,https://abjjadst.blob.core.windows.net/pub/5454df1c-8f88-477c-85c9-7922b2fe8bbe-192X290.jpg
521,ISBN 13 9789953867588,العالم الطبيعي في سؤال وجواب,تأليف ألبير مطلق (تأليف),"المؤلفون
1",ماذا يخفي الكنغر في جرابه؟... أين تضع السُلحفاة بيضها؟... ولم تتباهى الطَّواويس بألوانها؟...حين يتعلَّق الأمر بالعالم الطبيعي يتشوَّق الفتيان والفتيات إلى أجوبة عمّا يدور حولهم في هذا العالم؛ هذا الكتاب، بنُصوصه المُفصَّلة المُشوِّقة، وإختباراته الموجَزة، وحقائقه المُدهشة، ورُسومه الموضِّحة البديعة الألوان، مَرجع تفاعُلي يُلبّي تطلَّعات العُقول الشابّة المُتعطشة للمَعرفة.كما أنّ في كلّ باب من أبوابه فِقرات تجعَلُ القراءة نشاطاً مُنبِّهاً مُثيراً للحَماسة، من رَسْم كرتوني مرح، ولُعبة للتَّفتيش عن شيء خَفيّ، وتذكير بالمعلومات الأساسيّة.كتاب يشغْرُ القارئ الفتيّ معه أنّه يُشاركُ في ما يقرأ.,كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع معاجم,,مراجعات,اقتباسات,القرّاء,160 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2416412091/%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A-%D9%81%D9%8A-%D8%B3%D9%88%D8%A7%D9%84-%D9%88%D8%AC%D9%88%D8%A7%D8%A8/2416641471/reviews,https://abjjadst.blob.core.windows.net/pub/8e4b49d4-677b-4a02-87c0-ad9061ad1bb0-192X290.jpg
